DATE,30 year Mortgage rate,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
2012-02-01,3.91,286000.0,2.9,-12.1,1628.0,17.3,27.7,2517.0,24.9,-5.4,6905.0,-3.8,-30.2,77,8,-9,97.4,0.1,0.8
2012-03-01,3.87,295000.0,3.3,-6.8,2140.0,31.4,10.0,3084.0,22.5,-4.4,6721.0,-2.7,-32.9,68,-9,-17,97.9,0.5,1.0
2012-04-01,3.99,320000.0,8.5,-0.8,2308.0,7.9,18.9,3192.0,3.5,-4.4,6718.0,0.0,-34.8,41,-27,-20,98.1,0.3,0.8
2012-05-01,3.98,326000.0,2.0,4.5,2632.0,14.0,26.2,3362.0,5.3,4.4,6768.0,0.7,-35.1,29,-12,-26,98.9,0.8,1.5
2012-06-01,3.75,348000.0,6.6,8.1,2715.0,3.2,12.4,3080.0,-8.4,-6.9,6679.0,-1.3,-37.1,27,-2,-21,98.9,0.0,1.8
2012-07-01,3.67,335000.0,-3.7,5.8,2628.0,-3.2,30.3,2901.0,-5.8,0.2,6601.0,-1.2,-37.2,25,-2,-24,99.1,0.2,1.9
2012-08-01,3.49,340000.0,1.5,6.3,2773.0,5.5,25.4,2924.0,0.8,5.8,6561.0,-0.6,-35.9,28,3,-21,98.9,-0.2,1.6
2012-09-01,3.59,340000.0,0.0,10.1,2265.0,-18.3,15.0,2776.0,-5.1,8.2,6492.0,-1.1,-34.3,27,-1,-30,98.9,0.1,1.5
2012-10-01,3.49,340000.0,0.0,19.3,2515.0,11.0,36.7,2356.0,-15.1,5.0,5671.0,-12.6,-38.1,30,3,-26,99.1,0.2,1.5
2012-11-01,3.39,360000.0,5.9,20.2,2343.0,-6.8,28.4,1786.0,-24.2,-4.0,4978.0,-12.2,-40.5,32,2,-28,98.8,-0.3,1.5
2012-12-01,3.4,338000.0,-6.1,15.8,2236.0,-4.6,18.5,1265.0,-29.2,-3.1,4360.0,-12.4,-41.4,36,4,-29,98.8,0.0,1.5
2013-01-01,3.34,315000.0,-6.8,13.5,1631.0,-27.1,17.5,2377.0,87.9,17.9,4213.0,-3.4,-41.3,39,3,-30,99.2,0.4,1.9
2013-02-01,3.34,339000.0,7.6,18.6,1771.0,8.6,8.8,2732.0,14.9,8.5,4277.0,1.5,-38.1,38,-1,-39,99.3,0.1,1.9
2013-03-01,3.56,350000.0,3.3,18.6,2480.0,40.0,15.9,3268.0,19.6,6.0,4279.0,0.0,-36.3,20,-18,-48,100.1,0.7,2.2
2013-04-01,3.52,355000.0,1.4,10.9,2786.0,12.3,20.7,3647.0,11.6,14.3,4611.0,7.8,-31.4,13,-7,-28,100.6,0.5,2.5
2013-05-01,3.54,376000.0,5.9,15.2,3199.0,14.8,21.5,4215.0,15.6,25.4,5297.0,14.9,-21.7,10,-3,-19,101.0,0.4,2.1
2013-06-01,3.81,380000.0,1.1,9.2,3046.0,-4.8,12.2,3947.0,-6.4,28.1,5789.0,9.3,-13.3,11,1,-16,100.9,-0.1,2.0
2013-07-01,3.91,400000.0,5.3,19.5,3414.0,12.1,29.9,3798.0,-3.8,30.9,6191.0,6.9,-6.2,11,0,-14,100.9,0.0,1.8
2013-08-01,4.39,390000.0,-2.5,14.7,3246.0,-4.9,17.1,3623.0,-4.6,23.9,6549.0,5.8,-0.2,14,3,-14,100.3,-0.6,1.4
2013-09-01,4.4,390000.0,0.0,14.7,2720.0,-16.2,20.1,3144.0,-13.2,13.3,6517.0,-0.5,0.4,16,2,-11,100.0,-0.2,1.1
2013-10-01,4.57,382000.0,-2.2,12.2,2863.0,5.3,13.8,2755.0,-12.4,16.9,6002.0,-7.9,5.8,19,3,-11,99.7,-0.3,0.6
2013-11-01,4.22,375000.0,-1.7,4.2,2220.0,-22.5,-5.2,1794.0,-34.9,0.4,5148.0,-14.2,3.4,24,5,-8,99.4,-0.3,0.7
2013-12-01,4.22,380000.0,1.3,12.4,2306.0,3.9,3.1,1246.0,-30.5,-1.5,4420.0,-14.1,1.4,32,8,-4,99.2,-0.2,0.4
2014-01-01,4.46,365000.0,-3.9,15.9,1625.0,-29.5,-0.4,2298.0,84.4,-3.3,4333.0,-2.0,2.8,43,11,4,98.9,-0.3,-0.3
2014-02-01,4.39,375000.0,2.7,10.7,1779.0,9.5,0.5,2504.0,9.0,-8.3,4369.0,0.8,2.2,31,-12,-7,99.8,0.9,0.5
2014-03-01,4.23,378000.0,0.8,8.0,2354.0,32.3,-5.1,3221.0,28.6,-1.4,4404.0,0.8,2.9,19,-12,-1,100.1,0.3,0.0
2014-04-01,4.28,386000.0,2.1,8.7,2751.0,16.9,-1.3,3677.0,14.2,0.8,4591.0,4.2,-0.4,12,-7,-1,100.7,0.5,0.1
2014-05-01,4.33,399000.0,3.4,6.1,2974.0,8.1,-7.0,4388.0,19.3,4.1,5079.0,10.6,-4.1,11,-1,1,100.6,-0.1,-0.4
2014-06-01,4.21,420000.0,5.3,10.5,3230.0,8.6,6.0,3887.0,-11.4,-1.5,5551.0,9.3,-4.1,10,-1,-1,100.6,0.0,-0.3
2014-07-01,4.14,420000.0,0.0,4.9,3238.0,0.2,-5.2,3868.0,-0.5,1.8,6387.0,15.1,3.2,12,2,1,100.2,-0.4,-0.7
2014-08-01,4.12,400000.0,-4.8,2.6,3036.0,-6.2,-6.5,3321.0,-14.1,-8.3,6416.0,0.5,-2.0,16,4,2,99.8,-0.4,-0.5
2014-09-01,4.14,419000.0,4.8,7.4,2768.0,-8.8,1.8,3129.0,-5.8,-0.5,6287.0,-2.0,-3.5,19,3,3,99.5,-0.3,-0.5
2014-10-01,4.2,400000.0,-4.5,4.8,2952.0,6.6,3.1,2777.0,-11.2,0.8,5749.0,-8.6,-4.2,25,6,6,99.4,-0.1,-0.3
2014-11-01,4.19,400000.0,0.0,6.7,2300.0,-22.1,3.6,1759.0,-36.7,-2.0,4817.0,-16.2,-6.4,26,1,2,99.1,-0.3,-0.3
2014-12-01,3.97,400000.0,0.0,5.3,2528.0,9.9,9.6,1267.0,-28.0,1.7,3975.0,-17.5,-10.1,34,8,2,99.3,0.1,0.1
2015-01-01,3.89,400000.0,0.0,9.6,1641.0,-35.1,1.0,2323.0,83.3,1.1,3812.0,-4.1,-12.0,39,5,-4,99.3,0.0,0.4
2015-02-01,3.63,380000.0,-5.0,1.3,1882.0,14.7,5.8,2840.0,22.3,13.4,3878.0,1.7,-11.2,32,-7,1,99.9,0.6,0.1
2015-03-01,3.8,410000.0,7.9,8.5,2793.0,48.4,18.6,3700.0,30.3,14.9,4022.0,3.7,-8.7,13,-19,-6,100.8,0.9,0.7
2015-04-01,3.75,438000.0,6.8,13.5,3137.0,12.3,14.0,4171.0,12.7,13.4,4237.0,5.3,-7.7,9,-4,-3,101.5,0.7,0.8
2015-05-01,3.65,438000.0,0.0,9.8,3365.0,7.3,13.1,4240.0,1.7,-3.4,4566.0,7.8,-10.1,8,-1,-3,101.9,0.4,1.3
2015-06-01,3.8,452000.0,3.2,7.6,3823.0,13.6,18.4,4054.0,-4.4,4.3,4650.0,1.8,-16.2,9,1,-1,101.8,-0.1,1.2
2015-07-01,3.87,448000.0,-1.0,6.5,3871.0,1.3,19.5,3792.0,-6.5,-2.0,4735.0,1.8,-25.9,9,0,-3,101.6,-0.3,1.3
2015-08-01,3.98,460000.0,2.7,14.9,3362.0,-13.1,10.7,3399.0,-10.4,2.3,4668.0,-1.4,-27.2,13,4,-3,101.1,-0.5,1.3
2015-09-01,3.91,437000.0,-4.9,4.3,3138.0,-6.7,13.4,3200.0,-5.9,2.3,4476.0,-4.1,-28.8,11,-2,-8,100.9,-0.2,1.4
2015-10-01,3.86,438000.0,0.2,9.4,2990.0,-4.7,1.3,2751.0,-14.0,-0.9,4005.0,-10.5,-30.3,13,2,-12,100.6,-0.2,1.2
2015-11-01,3.76,443000.0,1.2,10.8,2266.0,-24.2,-1.5,1686.0,-38.7,-4.2,3103.0,-22.5,-35.6,14,1,-12,100.7,0.0,1.5
2015-12-01,3.87,450000.0,1.6,12.5,2659.0,17.3,5.2,1251.0,-25.8,-1.3,2479.0,-20.1,-37.6,19,5,-15,100.3,-0.4,1.0
2016-01-01,4.01,438000.0,-2.6,9.6,1618.0,-39.2,-1.4,2273.0,81.7,-2.2,2617.0,5.6,-31.3,19,0,-20,100.5,0.3,1.3
2016-02-01,3.97,445000.0,1.5,17.1,1941.0,20.0,3.1,2723.0,19.8,-4.1,2655.0,1.5,-31.5,10,-9,-22,101.7,1.1,1.8
2016-03-01,3.72,460000.0,3.4,12.2,2818.0,45.2,0.9,3803.0,39.7,2.8,2925.0,10.2,-27.3,8,-2,-5,102.9,1.2,2.1
2016-04-01,3.71,475000.0,3.3,8.4,3013.0,6.9,-4.0,4236.0,11.4,1.6,3459.0,18.3,-18.4,8,0,-1,103.4,0.5,1.9
2016-05-01,3.59,499000.0,5.1,13.9,3445.0,14.3,2.4,4302.0,1.6,1.5,3547.0,2.5,-22.3,7,-1,-1,103.7,0.3,1.9
2016-06-01,3.64,520000.0,4.2,15.0,4081.0,18.5,6.7,4629.0,7.6,14.2,4124.0,16.3,-11.3,8,1,-1,103.2,-0.5,1.4
2016-07-01,3.66,500000.0,-3.8,11.7,3706.0,-9.2,-4.3,4237.0,-8.5,11.7,4543.0,10.2,-4.1,8,0,-1,102.5,-0.7,0.9
2016-08-01,3.45,504000.0,0.7,9.6,3852.0,3.9,14.6,3778.0,-10.8,11.2,4449.0,-2.1,-4.7,10,2,-3,101.7,-0.8,0.6
2016-09-01,3.43,498000.0,-1.2,13.8,3427.0,-11.0,9.2,3822.0,1.2,19.4,4682.0,5.2,4.6,11,1,0,101.2,-0.5,0.3
2016-10-01,3.42,500000.0,0.5,14.2,3245.0,-5.3,8.5,2578.0,-32.5,-6.3,3844.0,-17.9,-4.0,12,1,-1,101.1,0.0,0.5
2016-11-01,3.42,504000.0,0.8,13.8,2958.0,-8.8,30.5,1901.0,-26.3,12.8,2971.0,-22.7,-4.3,14,2,0,100.8,-0.3,0.2
2016-12-01,4.08,515000.0,2.2,14.4,2777.0,-6.1,4.4,1271.0,-33.1,1.6,2195.0,-26.1,-11.5,17,3,-2,100.8,0.0,0.6
2017-01-01,4.13,486000.0,-5.6,10.9,2008.0,-27.7,24.1,2197.0,72.9,-3.3,2056.0,-6.3,-21.4,22,5,3,101.0,0.2,0.5
2017-02-01,4.09,515000.0,6.0,15.7,2002.0,-0.3,3.1,2376.0,8.1,-12.7,1951.0,-5.1,-26.5,10,-12,0,102.6,1.6,0.9
2017-03-01,4.16,545000.0,5.8,18.5,2879.0,43.8,2.2,3692.0,55.4,-2.9,2282.0,17.0,-22.0,7,-3,-1,104.1,1.5,1.2
2017-04-01,4.1,552000.0,1.3,16.2,2760.0,-4.1,-8.4,3622.0,-1.9,-14.5,2457.0,7.7,-29.0,7,0,-1,105.2,1.1,1.8
2017-05-01,4.1,565000.0,2.4,13.2,3659.0,32.6,6.2,4411.0,21.8,2.5,2775.0,12.9,-21.8,7,0,0,105.5,0.3,1.7
